frame,player_r_x,player_r_y,player_l_x,player_l_y
frame_000,261.0,766.0,90.0,761.0
frame_001,269.0,765.0,92.0,760.0
frame_002,266.0,765.0,92.0,760.0
frame_003,266.0,765.0,92.0,760.0
frame_004,266.0,765.0,92.0,760.0
frame_005,266.0,765.0,92.0,760.0
frame_006,266.0,765.0,92.0,760.0
frame_007,266.0,765.0,92.0,760.0
frame_008,266.0,765.0,92.0,760.0
frame_009,266.0,765.0,92.0,760.0
frame_010,262.0,758.0,92.0,760.0
frame_011,258.0,744.0,92.0,760.0
frame_012,260.0,744.0,92.0,760.0
frame_013,265.0,741.0,92.0,760.0
frame_014,266.0,734.0,92.0,760.0
frame_015,268.0,734.0,92.0,760.0
frame_016,273.0,734.0,92.0,760.0
frame_017,282.0,733.0,92.0,760.0
frame_018,297.0,740.0,100.0,756.0
frame_019,293.0,736.0,102.0,757.0
frame_020,292.0,737.0,102.0,757.0
frame_021,292.0,737.0,104.0,756.0
frame_022,292.0,737.0,105.0,754.0
frame_023,292.0,737.0,110.0,750.0
frame_024,292.0,737.0,125.0,741.0
frame_025,292.0,737.0,137.0,733.0
frame_026,292.0,737.0,164.0,725.0
frame_027,292.0,737.0,177.0,724.0
frame_028,294.0,737.0,193.0,728.0
frame_029,304.0,729.0,201.0,725.0
frame_030,309.0,729.0,208.0,724.0
frame_031,328.0,725.0,222.0,725.0
frame_032,350.0,726.0,228.0,726.0
frame_033,350.0,728.0,228.0,726.0
frame_034,382.0,730.0,228.0,726.0
frame_035,382.0,730.0,228.0,726.0
frame_036,380.0,732.0,228.0,726.0
frame_037,380.0,732.0,228.0,726.0
frame_038,380.0,732.0,228.0,726.0
frame_039,380.0,732.0,228.0,726.0
frame_040,380.0,732.0,228.0,726.0
frame_041,380.0,732.0,228.0,726.0
frame_042,380.0,732.0,228.0,726.0
frame_043,380.0,732.0,228.0,726.0
frame_044,380.0,732.0,228.0,726.0
frame_045,380.0,732.0,228.0,726.0
frame_046,380.0,732.0,228.0,726.0
frame_047,380.0,732.0,233.0,721.0
frame_048,380.0,732.0,248.0,712.0
frame_049,380.0,732.0,265.0,709.0
frame_050,380.0,732.0,276.0,706.0
frame_051,380.0,732.0,313.0,698.0
frame_052,380.0,732.0,340.0,702.0
frame_053,380.0,732.0,389.0,697.0
frame_054,380.0,732.0,412.0,698.0
frame_055,388.0,725.0,428.0,705.0
frame_056,406.0,718.0,466.0,708.0
frame_057,425.0,725.0,473.0,709.0
frame_058,445.0,717.0,476.0,718.0
frame_059,480.0,720.0,476.0,720.0
frame_060,522.0,725.0,476.0,720.0
frame_061,566.0,720.0,477.0,720.0
frame_062,589.0,720.0,477.0,720.0
frame_063,633.0,717.0,477.0,720.0
frame_064,650.0,717.0,477.0,720.0
frame_065,661.0,718.0,477.0,720.0
frame_066,664.0,720.0,477.0,720.0
frame_067,666.0,720.0,497.0,714.0
frame_068,672.0,728.0,500.0,717.0
frame_069,672.0,728.0,532.0,725.0
frame_070,672.0,728.0,552.0,726.0
frame_071,672.0,724.0,578.0,728.0
frame_072,672.0,724.0,601.0,730.0
frame_073,688.0,724.0,624.0,732.0
frame_074,702.0,724.0,637.0,736.0
frame_075,716.0,732.0,650.0,742.0
frame_076,736.0,736.0,650.0,740.0
frame_077,746.0,740.0,649.0,738.0
frame_078,750.0,744.0,649.0,738.0
frame_079,758.0,746.0,649.0,738.0
frame_080,764.0,760.0,649.0,738.0
frame_081,764.0,760.0,649.0,738.0
frame_082,770.0,772.0,649.0,738.0
frame_083,770.0,780.0,649.0,738.0
frame_084,773.0,789.0,649.0,738.0
frame_085,780.0,793.0,645.0,738.0
frame_086,780.0,794.0,662.0,740.0
frame_087,780.0,794.0,690.0,753.0
frame_088,777.0,794.0,701.0,758.0
frame_089,774.0,793.0,713.0,761.0
frame_090,778.0,777.0,730.0,760.0
frame_091,776.0,776.0,721.0,761.0
frame_092,778.0,764.0,722.0,766.0
frame_093,782.0,760.0,722.0,766.0
frame_094,781.0,750.0,722.0,753.0
frame_095,788.0,746.0,714.0,752.0
frame_096,800.0,746.0,702.0,746.0
frame_097,806.0,745.0,692.0,733.0
frame_098,818.0,742.0,673.0,734.0
frame_099,825.0,740.0,668.0,730.0
frame_100,833.0,736.0,674.0,725.0
frame_101,826.0,742.0,666.0,730.0
frame_102,826.0,742.0,665.0,718.0
frame_103,826.0,742.0,668.0,721.0
frame_104,826.0,742.0,674.0,721.0
frame_105,826.0,742.0,694.0,717.0
frame_106,822.0,740.0,689.0,721.0
frame_107,824.0,725.0,690.0,717.0
frame_108,816.0,720.0,690.0,717.0
frame_109,806.0,709.0,692.0,718.0
frame_110,794.0,704.0,692.0,718.0
frame_111,776.0,700.0,692.0,718.0
frame_112,746.0,701.0,692.0,718.0
frame_113,717.0,694.0,692.0,718.0
frame_114,672.0,704.0,692.0,718.0
frame_115,640.0,701.0,692.0,718.0
frame_116,620.0,701.0,692.0,718.0
frame_117,592.0,698.0,681.0,709.0
frame_118,577.0,701.0,669.0,704.0
frame_119,580.0,702.0,642.0,698.0
frame_120,584.0,704.0,617.0,698.0
frame_121,584.0,704.0,593.0,700.0
frame_122,584.0,704.0,550.0,713.0
frame_123,580.0,700.0,532.0,718.0
frame_124,576.0,685.0,529.0,717.0
frame_125,561.0,682.0,528.0,717.0
frame_126,548.0,682.0,528.0,717.0
frame_127,518.0,689.0,526.0,718.0
frame_128,509.0,686.0,526.0,718.0
frame_129,488.0,684.0,526.0,718.0
frame_130,486.0,684.0,526.0,718.0
frame_131,484.0,685.0,526.0,718.0
frame_132,470.0,685.0,526.0,718.0
frame_133,470.0,685.0,526.0,718.0
frame_134,470.0,685.0,526.0,718.0
frame_135,470.0,685.0,526.0,718.0
frame_136,470.0,685.0,526.0,718.0
frame_137,470.0,685.0,525.0,716.0
frame_138,470.0,685.0,521.0,702.0
frame_139,470.0,685.0,510.0,704.0
frame_140,470.0,685.0,501.0,704.0
frame_141,470.0,685.0,500.0,704.0
frame_142,470.0,685.0,493.0,702.0
frame_143,470.0,685.0,480.0,701.0
frame_144,470.0,685.0,469.0,700.0
frame_145,470.0,685.0,456.0,702.0
frame_146,470.0,685.0,444.0,701.0
frame_147,470.0,685.0,436.0,698.0
frame_148,470.0,685.0,436.0,698.0
frame_149,470.0,685.0,422.0,694.0
frame_150,470.0,685.0,422.0,694.0
frame_151,470.0,685.0,414.0,697.0
frame_152,470.0,685.0,412.0,702.0
frame_153,477.0,688.0,412.0,702.0
frame_154,494.0,685.0,410.0,701.0
frame_155,494.0,685.0,410.0,701.0
frame_156,496.0,690.0,404.0,708.0
frame_157,514.0,694.0,409.0,708.0
frame_158,513.0,688.0,408.0,706.0
frame_159,512.0,696.0,408.0,706.0
frame_160,517.0,700.0,408.0,706.0
frame_161,521.0,712.0,409.0,705.0
frame_162,524.0,710.0,426.0,698.0
frame_163,521.0,710.0,430.0,700.0
frame_164,521.0,710.0,437.0,701.0
frame_165,521.0,710.0,465.0,710.0
frame_166,525.0,704.0,481.0,714.0
frame_167,536.0,710.0,497.0,717.0
frame_168,538.0,709.0,510.0,722.0
frame_169,562.0,712.0,521.0,722.0
frame_170,585.0,710.0,522.0,729.0
frame_171,606.0,712.0,522.0,729.0
frame_172,637.0,717.0,522.0,737.0
frame_173,657.0,718.0,522.0,737.0
frame_174,678.0,725.0,522.0,737.0
frame_175,680.0,728.0,522.0,737.0
frame_176,680.0,728.0,522.0,737.0
frame_177,680.0,728.0,529.0,733.0
frame_178,680.0,728.0,534.0,732.0
frame_179,680.0,728.0,557.0,726.0
frame_180,690.0,728.0,574.0,721.0
frame_181,690.0,728.0,590.0,721.0
frame_182,714.0,717.0,609.0,721.0
frame_183,729.0,718.0,610.0,721.0
frame_184,736.0,718.0,613.0,724.0
frame_185,761.0,716.0,613.0,728.0
frame_186,781.0,712.0,613.0,728.0
frame_187,782.0,709.0,613.0,728.0
frame_188,785.0,708.0,613.0,728.0
frame_189,785.0,708.0,613.0,728.0
frame_190,781.0,712.0,613.0,728.0
frame_191,772.0,716.0,621.0,718.0
frame_192,772.0,716.0,625.0,714.0
frame_193,773.0,714.0,653.0,685.0
frame_194,773.0,714.0,688.0,684.0
frame_195,773.0,714.0,730.0,676.0
frame_196,773.0,714.0,770.0,673.0
frame_197,773.0,714.0,825.0,686.0
frame_198,773.0,714.0,864.0,689.0
frame_199,781.0,713.0,918.0,700.0
frame_200,785.0,702.0,949.0,704.0
frame_201,794.0,700.0,957.0,712.0
frame_202,822.0,693.0,969.0,720.0
frame_203,856.0,690.0,969.0,720.0
frame_204,897.0,688.0,969.0,720.0
frame_205,945.0,692.0,969.0,720.0
frame_206,1002.0,713.0,969.0,720.0
frame_207,1056.0,730.0,969.0,720.0
frame_208,1124.0,737.0,970.0,713.0
frame_209,1181.0,740.0,984.0,696.0
frame_210,1192.0,750.0,986.0,701.0
frame_211,1210.0,754.0,1014.0,678.0
frame_212,1206.0,757.0,1048.0,678.0
frame_213,1206.0,757.0,1078.0,678.0
frame_214,1206.0,757.0,1121.0,682.0
frame_215,1206.0,757.0,1180.0,696.0
frame_216,1218.0,746.0,1240.0,717.0
frame_217,1218.0,742.0,1293.0,741.0
frame_218,1218.0,744.0,1356.0,762.0
frame_219,1221.0,738.0,1422.0,774.0
frame_220,1225.0,736.0,1476.0,789.0
frame_221,1253.0,718.0,1518.0,800.0
frame_222,1273.0,704.0,1544.0,805.0
frame_223,1296.0,704.0,1562.0,824.0
frame_224,1333.0,710.0,1554.0,820.0
