frame,br_x,br_y,tr_x,tr_y,tl_x,tl_y,bl_x,bl_y
frame_000,1848.0,741.0,1274.0,529.0,688.0,520.0,65.0,744.0
frame_050,1849.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_100,1849.0,742.0,1274.0,528.0,688.0,520.0,66.0,744.0
frame_150,1849.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_200,1853.0,744.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_250,1846.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_300,1848.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_350,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_400,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_450,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_500,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_550,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_600,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_650,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_700,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_750,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
frame_800,1850.0,742.0,1274.0,526.0,688.0,520.0,66.0,744.0
