frame,bl_x,bl_y,tl_x,tl_y,tr_x,tr_y,br_x,br_y
frame_000,120.0,820.0,682.0,582.0,1305.0,570.0,1881.0,792.0
frame_050,120.0,820.0,682.0,582.0,1304.0,572.0,1881.0,792.0
frame_100,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_150,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_200,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_250,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_300,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_350,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_400,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_450,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_500,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_550,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_600,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_650,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_700,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_750,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_800,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
frame_850,120.0,820.0,682.0,582.0,1304.0,572.0,1882.0,793.0
