frame,ball_x,ball_y
frame_000,1913.0,4.0
frame_001,1913.0,4.0
frame_002,1906.0,8.0
frame_003,1906.0,8.0
frame_004,1906.0,8.0
frame_005,1906.0,8.0
frame_006,1906.0,8.0
frame_007,1906.0,8.0
frame_008,1906.0,8.0
frame_009,1906.0,8.0
frame_010,1906.0,6.0
frame_011,1906.0,8.0
frame_012,1906.0,8.0
frame_013,1906.0,8.0
frame_014,1906.0,8.0
frame_015,1906.0,8.0
frame_016,1906.0,8.0
frame_017,1906.0,8.0
frame_018,1906.0,8.0
frame_019,1906.0,8.0
frame_020,1906.0,8.0
frame_021,1906.0,8.0
frame_022,1906.0,8.0
frame_023,1906.0,8.0
frame_024,1906.0,8.0
frame_025,1906.0,8.0
frame_026,1906.0,8.0
frame_027,1906.0,8.0
frame_028,1906.0,8.0
frame_029,1906.0,8.0
frame_030,1906.0,8.0
frame_031,1906.0,8.0
frame_032,1906.0,8.0
frame_033,1906.0,8.0
frame_034,1906.0,8.0
frame_035,1906.0,8.0
frame_036,1906.0,8.0
frame_037,1906.0,8.0
frame_038,1906.0,8.0
frame_039,1906.0,8.0
frame_040,1906.0,8.0
frame_041,1906.0,8.0
frame_042,1906.0,8.0
frame_043,1906.0,8.0
frame_044,1906.0,8.0
frame_045,1906.0,8.0
frame_046,1906.0,8.0
frame_047,1906.0,8.0
frame_048,1906.0,8.0
frame_049,1906.0,8.0
frame_050,860.0,168.0
frame_051,857.0,173.0
frame_052,856.0,181.0
frame_053,849.0,186.0
frame_054,846.0,198.0
frame_055,841.0,202.0
frame_056,840.0,210.0
frame_057,836.0,220.0
frame_058,830.0,229.0
frame_059,828.0,238.0
frame_060,826.0,250.0
frame_061,821.0,261.0
frame_062,817.0,273.0
frame_063,814.0,286.0
frame_064,810.0,297.0
frame_065,804.0,313.0
frame_066,801.0,326.0
frame_067,797.0,340.0
frame_068,793.0,353.0
frame_069,786.0,372.0
frame_070,785.0,373.0
frame_071,781.0,369.0
frame_072,777.0,364.0
frame_073,772.0,356.0
frame_074,769.0,352.0
frame_075,764.0,346.0
frame_076,762.0,341.0
frame_077,758.0,340.0
frame_078,756.0,332.0
frame_079,750.0,330.0
frame_080,748.0,326.0
frame_081,741.0,318.0
frame_082,740.0,318.0
frame_083,736.0,314.0
frame_084,730.0,313.0
frame_085,728.0,309.0
