frame,br_x,br_y,bl_x,bl_y,tl_x,tl_y,tr_x,tr_y
frame_000,1878.0,741.0,2.0,757.0,624.0,322.0,1285.0,313.0
frame_050,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_100,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_150,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_200,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_250,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_300,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_350,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_400,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_450,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_500,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_550,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_600,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_650,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_700,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_750,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_800,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_850,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_900,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
frame_950,1878.0,741.0,6.0,753.0,625.0,321.0,1285.0,313.0
