frame,BL_x,BL_y,BR_x,BR_y,TR_x,TR_y,TL_x,TL_y
frame_000,1200.0,490.0,726.0,498.0,353.0,824.0,1609.0,821.0
frame_050,1200.0,490.0,726.0,498.0,353.0,824.0,1609.0,818.0
frame_100,1202.0,489.0,726.0,498.0,353.0,824.0,1606.0,818.0
frame_150,1202.0,489.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_200,1202.0,489.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_250,1202.0,489.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_300,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_350,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_400,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_450,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_500,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_550,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_600,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_650,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_700,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
frame_750,1200.0,486.0,726.0,498.0,350.0,824.0,1605.0,820.0
