frame,player_l_x,player_l_y,player_r_x,player_r_y
frame_000,1910.0,8.0,1912.0,5.0
frame_001,1910.0,8.0,1912.0,5.0
frame_002,1910.0,8.0,1912.0,5.0
frame_003,1910.0,8.0,1912.0,5.0
frame_004,1910.0,8.0,1912.0,5.0
frame_005,1910.0,8.0,1912.0,5.0
frame_006,1910.0,8.0,1912.0,5.0
frame_007,1910.0,8.0,1912.0,5.0
frame_008,1910.0,8.0,1912.0,5.0
frame_009,1910.0,8.0,1912.0,5.0
frame_010,1910.0,8.0,1912.0,5.0
frame_011,1910.0,8.0,1912.0,5.0
frame_012,1910.0,8.0,1912.0,5.0
frame_013,1910.0,8.0,1912.0,5.0
frame_014,1910.0,8.0,1912.0,5.0
frame_015,1910.0,8.0,1912.0,5.0
frame_016,1910.0,8.0,1912.0,5.0
frame_017,1910.0,8.0,1912.0,5.0
frame_018,1910.0,8.0,1912.0,5.0
frame_019,1910.0,8.0,1912.0,5.0
frame_020,1910.0,8.0,1912.0,5.0
frame_021,1910.0,8.0,1912.0,5.0
frame_022,1910.0,8.0,1912.0,5.0
frame_023,1910.0,8.0,1912.0,5.0
frame_024,1910.0,8.0,1912.0,5.0
frame_025,1910.0,8.0,1912.0,5.0
frame_026,1910.0,8.0,1912.0,5.0
frame_027,1910.0,8.0,1912.0,5.0
frame_028,1910.0,8.0,1912.0,5.0
frame_029,1910.0,8.0,1912.0,5.0
frame_030,1910.0,8.0,1912.0,5.0
frame_031,1910.0,8.0,1912.0,5.0
frame_032,1910.0,8.0,1912.0,5.0
frame_033,1910.0,8.0,1912.0,5.0
frame_034,1910.0,8.0,1912.0,5.0
frame_035,1910.0,8.0,1912.0,5.0
frame_036,1910.0,8.0,1912.0,5.0
frame_037,1910.0,8.0,1912.0,5.0
frame_038,1910.0,8.0,1912.0,5.0
frame_039,1910.0,8.0,1912.0,5.0
frame_040,1910.0,8.0,1912.0,5.0
frame_041,1910.0,8.0,1912.0,5.0
frame_042,1910.0,8.0,1912.0,5.0
frame_043,1910.0,8.0,1912.0,5.0
frame_044,1910.0,8.0,1912.0,5.0
frame_045,1910.0,8.0,1912.0,5.0
frame_046,1910.0,8.0,1912.0,5.0
frame_047,1910.0,8.0,1912.0,5.0
frame_048,1910.0,8.0,1912.0,5.0
frame_049,1910.0,8.0,1912.0,5.0
frame_050,1910.0,8.0,100.0,942.0
frame_051,1910.0,8.0,108.0,944.0
frame_052,1910.0,8.0,114.0,942.0
frame_053,1910.0,8.0,132.0,940.0
frame_054,1910.0,8.0,133.0,938.0
frame_055,1910.0,8.0,156.0,929.0
frame_056,1910.0,8.0,166.0,926.0
frame_057,1910.0,8.0,176.0,920.0
frame_058,1910.0,8.0,181.0,918.0
frame_059,1910.0,8.0,186.0,917.0
frame_060,1910.0,8.0,204.0,913.0
frame_061,1910.0,8.0,206.0,913.0
frame_062,1910.0,8.0,209.0,913.0
frame_063,1910.0,8.0,209.0,913.0
frame_064,1910.0,8.0,210.0,916.0
frame_065,1910.0,8.0,210.0,917.0
frame_066,1910.0,8.0,210.0,917.0
frame_067,1910.0,8.0,210.0,917.0
frame_068,1910.0,8.0,210.0,917.0
frame_069,1910.0,8.0,210.0,917.0
frame_070,1910.0,8.0,210.0,917.0
frame_071,1910.0,8.0,210.0,917.0
frame_072,1910.0,8.0,210.0,917.0
frame_073,1910.0,8.0,209.0,918.0
frame_074,1910.0,8.0,193.0,920.0
frame_075,1910.0,8.0,189.0,918.0
frame_076,1910.0,8.0,177.0,910.0
frame_077,1910.0,8.0,176.0,909.0
frame_078,1910.0,8.0,156.0,908.0
frame_079,1910.0,8.0,149.0,906.0
frame_080,1910.0,8.0,137.0,905.0
frame_081,1910.0,8.0,121.0,909.0
frame_082,1910.0,8.0,109.0,912.0
frame_083,1910.0,8.0,109.0,912.0
frame_084,1910.0,8.0,109.0,912.0
frame_085,1910.0,8.0,109.0,912.0
frame_086,1910.0,8.0,109.0,912.0
frame_087,1910.0,8.0,109.0,912.0
frame_088,1910.0,8.0,109.0,912.0
frame_089,1910.0,8.0,109.0,912.0
frame_090,1910.0,8.0,109.0,912.0
frame_091,1910.0,8.0,109.0,912.0
frame_092,1910.0,8.0,109.0,912.0
frame_093,1910.0,8.0,109.0,912.0
frame_094,1910.0,8.0,109.0,912.0
frame_095,1910.0,8.0,109.0,912.0
frame_096,1910.0,8.0,109.0,912.0
frame_097,1910.0,8.0,109.0,912.0
frame_098,1910.0,8.0,109.0,912.0
frame_099,1910.0,8.0,109.0,912.0
frame_100,1910.0,8.0,109.0,912.0
frame_101,1910.0,8.0,109.0,912.0
frame_102,1910.0,8.0,109.0,912.0
frame_103,1910.0,8.0,97.0,889.0
frame_104,1910.0,8.0,88.0,881.0
frame_105,1910.0,8.0,74.0,882.0
frame_106,1910.0,8.0,60.0,888.0
frame_107,1910.0,8.0,48.0,880.0
frame_108,1910.0,8.0,1912.0,14.0
frame_109,1910.0,8.0,1912.0,14.0
frame_110,1910.0,8.0,1912.0,14.0
frame_111,1910.0,8.0,1912.0,14.0
frame_112,1910.0,8.0,1912.0,14.0
frame_113,1910.0,8.0,1912.0,14.0
frame_114,1910.0,8.0,1912.0,14.0
frame_115,1910.0,8.0,1912.0,14.0
frame_116,1910.0,8.0,1912.0,14.0
frame_117,1910.0,8.0,1912.0,14.0
frame_118,1910.0,8.0,1912.0,14.0
frame_119,1910.0,8.0,1912.0,14.0
frame_120,1910.0,8.0,1912.0,14.0
frame_121,1910.0,8.0,1912.0,14.0
frame_122,1910.0,8.0,1912.0,14.0
frame_123,1910.0,8.0,1912.0,14.0
frame_124,1910.0,8.0,1912.0,14.0
frame_125,1910.0,8.0,1912.0,14.0
frame_126,1910.0,8.0,1912.0,14.0
frame_127,1910.0,8.0,1912.0,14.0
frame_128,1910.0,8.0,1912.0,14.0
frame_129,1910.0,8.0,1912.0,14.0
frame_130,1910.0,8.0,1912.0,14.0
frame_131,1910.0,8.0,1912.0,14.0
frame_132,1910.0,8.0,1912.0,14.0
frame_133,1910.0,8.0,1912.0,14.0
frame_134,1910.0,8.0,1912.0,14.0
frame_135,1910.0,8.0,1912.0,14.0
frame_136,1910.0,8.0,1912.0,14.0
frame_137,1910.0,8.0,1912.0,14.0
frame_138,1910.0,8.0,1912.0,14.0
frame_139,1910.0,8.0,1912.0,14.0
frame_140,1910.0,8.0,1912.0,14.0
frame_141,1910.0,8.0,1912.0,14.0
frame_142,1910.0,8.0,1912.0,14.0
frame_143,1910.0,8.0,1912.0,14.0
frame_144,1910.0,8.0,1912.0,14.0
frame_145,1910.0,8.0,1912.0,14.0
frame_146,1910.0,8.0,1912.0,14.0
frame_147,1910.0,8.0,1912.0,14.0
frame_148,32.0,840.0,1912.0,14.0
frame_149,73.0,838.0,164.0,820.0
frame_150,84.0,834.0,166.0,818.0
frame_151,106.0,834.0,180.0,816.0
frame_152,134.0,829.0,197.0,818.0
frame_153,146.0,824.0,201.0,812.0
frame_154,173.0,833.0,204.0,813.0
frame_155,180.0,836.0,209.0,810.0
frame_156,176.0,837.0,261.0,816.0
frame_157,173.0,838.0,261.0,816.0
frame_158,172.0,838.0,276.0,814.0
frame_159,172.0,838.0,298.0,818.0
frame_160,172.0,838.0,317.0,820.0
frame_161,172.0,838.0,340.0,822.0
frame_162,172.0,838.0,353.0,822.0
frame_163,172.0,838.0,360.0,822.0
frame_164,172.0,838.0,369.0,825.0
frame_165,172.0,838.0,380.0,832.0
frame_166,172.0,838.0,382.0,833.0
frame_167,185.0,833.0,385.0,834.0
frame_168,193.0,833.0,388.0,836.0
frame_169,208.0,834.0,388.0,836.0
frame_170,246.0,840.0,388.0,836.0
frame_171,261.0,840.0,389.0,837.0
frame_172,288.0,841.0,389.0,837.0
frame_173,298.0,841.0,389.0,837.0
frame_174,316.0,845.0,413.0,836.0
frame_175,322.0,846.0,413.0,836.0
frame_176,330.0,848.0,420.0,836.0
frame_177,345.0,856.0,432.0,842.0
frame_178,349.0,856.0,449.0,858.0
frame_179,349.0,856.0,480.0,861.0
frame_180,349.0,861.0,486.0,865.0
frame_181,353.0,866.0,500.0,869.0
frame_182,354.0,872.0,510.0,888.0
frame_183,354.0,872.0,532.0,885.0
frame_184,354.0,872.0,541.0,885.0
frame_185,354.0,872.0,549.0,897.0
frame_186,354.0,872.0,564.0,908.0
frame_187,356.0,873.0,565.0,908.0
frame_188,365.0,872.0,570.0,909.0
frame_189,373.0,869.0,572.0,909.0
frame_190,376.0,869.0,570.0,909.0
frame_191,377.0,869.0,566.0,910.0
frame_192,382.0,869.0,566.0,910.0
frame_193,384.0,870.0,566.0,910.0
frame_194,386.0,870.0,576.0,905.0
frame_195,412.0,877.0,577.0,902.0
frame_196,413.0,877.0,585.0,894.0
frame_197,413.0,878.0,585.0,894.0
frame_198,412.0,886.0,592.0,893.0
frame_199,412.0,886.0,628.0,896.0
frame_200,412.0,886.0,645.0,898.0
frame_201,409.0,894.0,653.0,901.0
frame_202,409.0,894.0,653.0,902.0
frame_203,409.0,896.0,650.0,906.0
frame_204,409.0,896.0,649.0,908.0
frame_205,414.0,893.0,649.0,908.0
frame_206,414.0,893.0,649.0,908.0
frame_207,414.0,893.0,649.0,908.0
frame_208,414.0,893.0,649.0,908.0
frame_209,421.0,893.0,649.0,908.0
frame_210,430.0,896.0,649.0,908.0
frame_211,436.0,900.0,649.0,908.0
frame_212,446.0,902.0,649.0,908.0
frame_213,446.0,902.0,645.0,908.0
frame_214,466.0,912.0,642.0,909.0
frame_215,468.0,914.0,626.0,912.0
frame_216,469.0,917.0,620.0,918.0
frame_217,472.0,924.0,617.0,920.0
frame_218,473.0,926.0,578.0,936.0
frame_219,473.0,926.0,548.0,942.0
frame_220,473.0,926.0,537.0,940.0
frame_221,473.0,926.0,524.0,938.0
frame_222,468.0,918.0,516.0,942.0
frame_223,468.0,918.0,510.0,945.0
frame_224,468.0,918.0,498.0,957.0
frame_225,456.0,916.0,498.0,958.0
frame_226,456.0,916.0,494.0,974.0
frame_227,450.0,914.0,494.0,974.0
frame_228,425.0,904.0,494.0,974.0
frame_229,390.0,914.0,494.0,974.0
frame_230,390.0,914.0,494.0,974.0
frame_231,356.0,908.0,492.0,976.0
frame_232,342.0,910.0,492.0,976.0
frame_233,333.0,906.0,492.0,976.0
frame_234,314.0,909.0,492.0,976.0
