point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.7876489711539637,0.4533333333333333,0.7138855320051886,0.6736396832334308,0.48453612619659214,0,0,0.0,0.0
2,0.7927192289212133,0.52,0.7467803218008295,0.7744106846510354,0.5309087691568486,0,0,0.0,0.0
3,0.7960550267609879,0.49333333333333335,0.7821879052314451,0.684006860579815,0.49736962257903544,0,0,0.0,0.0
4,0.7921935572525085,0.49666666666666665,0.7208010697723802,0.6810587950675846,0.4986368459372389,0,0,0.0,0.0
5,0.7966782993835645,0.48,0.7555047018112081,0.6902970047569954,0.4926671319753426,0,0,0.0,0.0
6,0.7981605062885224,0.5033333333333333,0.7816398839122681,0.687658353210421,0.5052988478197012,0,0,1.0,0.0
7,0.8091543118325288,0.5066666666666667,0.7443025376096375,0.8009407797289188,0.5106998352688782,0,0,1.0,0.0
8,0.8256048511151187,0.4766666666666667,0.7358818614158752,0.8122431375738531,0.4929504486075944,0,0,1.0,0.0
9,0.8457514760493868,0.5966666666666667,0.7363568334904309,0.7943507604027931,0.644823063147326,0,0,1.0,0.0
10,0.8369637899166985,0.5566666666666666,0.7849460156438948,0.7150937094691511,0.5884336739683369,0,0,1.0,0.0
11,0.8233668458859932,0.5933333333333334,0.8165607362787076,0.6930289735724706,0.6362729223431632,0,0,1.0,0.0
12,0.8023286699449532,0.56,0.839181940439915,0.7002766601434919,0.5890794403933944,0,0,1.0,0.0
13,0.7908150573424326,0.54,0.8658239419982443,0.6931145942619902,0.5600652045873947,0,0,1.0,0.0
14,0.8023286699449532,0.49666666666666665,0.8519779437205475,0.7002766601434919,0.49870441335518856,0,0,1.0,0.0
15,0.8233668458859932,0.5366666666666666,0.8459347991992101,0.6937009367979289,0.5576913464760839,0,0,1.0,0.0
16,0.8023286699449532,0.55,0.863225659042079,0.7023904750154111,0.5752328669944954,0,0,1.0,0.0
17,0.7908150573424326,0.48333333333333334,0.9016030924654599,0.7888023004733777,0.49358272413363663,0,0,1.0,0.0
18,0.8023286699449532,0.51,0.8944294469975219,0.7981801979108845,0.515846573398899,0,0,1.0,0.0
19,0.7908150573424326,0.5266666666666666,0.8909515026931272,0.6947358022624326,0.5407545808360408,0,0,1.0,0.0
20,0.8618087200575499,0.67,0.9460604242935351,0.798655272858059,0.735214964819567,0,0,2.0,0.0
21,0.8653293421082991,0.67,0.9556133647045888,0.8016047288458038,0.7364119763168218,0,0,2.0,0.0
22,0.8676456116099034,0.6566666666666666,0.9629529048683977,0.8033654630576587,0.7227734027488808,0,0,2.0,0.0
23,0.8649643328024114,0.63,0.9468169623776103,0.8009967525549407,0.691090726528627,0,0,2.0,0.0
24,0.8680783918430593,0.69,0.9558124751947767,0.8111033831287303,0.7576697889003625,0,0,2.0,0.0
25,0.8691075880995248,0.5933333333333334,0.9675604337240356,0.8460448095408927,0.6448111942230225,0,0,3.0,0.0
26,0.8719267973589524,0.66,0.9551816712753999,0.8059692385436587,0.7278165751548649,0,0,3.0,0.0
27,0.8761453104554786,0.72,0.9574148677652516,0.8572236875615743,0.7887039366004105,0,0,3.0,0.0
28,0.8813116335574792,0.6933333333333334,0.9405795075790243,0.7903096337008715,0.7660182760866698,0,0,3.0,0.0
29,0.8656081240870513,0.69,0.9210452474790005,0.8030109701963823,0.7567310871530795,0,0,3.0,1.0
30,0.8694387871631482,0.65,0.9449015069329952,0.8389394391759586,0.7158316361489445,0,0,3.0,1.0
31,0.871959037257076,0.68,0.9516683236911854,0.8455555529412832,0.7491052534125474,0,0,3.0,1.0
32,0.8690416335776906,0.6666666666666666,0.9213751508229826,0.8054762208138061,0.7341249889703413,0,0,3.0,1.0
33,0.8611592728147243,0.6433333333333333,0.9034749498587754,0.8293745027111765,0.7057767693179987,0,0,3.0,1.0
