point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.31247667762736486,0.5,0.2901596933457957,0.6151082552404697,0.5,0,0,0.0,0.0
2,0.32212620010557425,0.43333333333333335,0.3312613497233683,0.630027160662016,0.4185057155696321,0,0,0.0,0.0
3,0.3088940385496355,0.4966666666666667,0.2570233794693867,0.6142269860098626,0.49541484914588646,0,0,0.0,0.0
4,0.32176692124957174,0.5733333333333333,0.3048968304419096,0.6292337639816799,0.536436926227715,0,0,0.0,0.0
5,0.33050864601364593,0.4933333333333333,0.33075093475726425,0.6606411450434408,0.4911623375024041,0,0,0.0,0.0
6,0.33388815748891765,0.52,0.3745307708517689,0.639199944141097,0.5125555262995567,0,0,1.0,0.0
7,0.35360638555922597,0.5133333333333333,0.3672696769081306,0.6593320198910545,0.5090739480593571,0,0,1.0,0.0
8,0.3383852462952702,0.5,0.4077933955112161,0.6582784134828255,0.5,0,0,1.0,0.0
9,0.36652114657515056,0.55,0.4127957979266468,0.6814480910932801,0.531652114657515,0,0,1.0,0.0
10,0.4195384799700116,0.6066666666666667,0.448816531086349,0.6900100351572753,0.5667459868380469,0,0,1.0,0.0
11,0.3883404965592677,0.5633333333333334,0.4760895199580878,0.6644674252832503,0.5411675740086184,0,0,1.0,0.0
12,0.34373265216401516,0.52,0.49158437786492026,0.6544816475545261,0.5129493060865606,0,0,1.0,0.0
13,0.3245588169746252,0.5633333333333334,0.5285715588962276,0.640608130587143,0.5330885612612303,0,0,1.0,0.0
14,0.34373265216401516,0.5333333333333333,0.5317111153431233,0.6684387933421796,0.5206932879220454,0,0,1.0,0.0
15,0.3883404965592677,0.5900000000000001,0.5391810118256819,0.6617345865553417,0.5537012893806682,0,0,1.0,0.0
16,0.3163173078666661,0.5233333333333333,0.4535940560642282,0.6140187425988521,0.5136725854782223,0,0,1.0,1.0
17,0.3267979909701477,0.5233333333333333,0.4784372877058203,0.6307198415746138,0.5141616840230514,0,0,1.0,1.0
18,0.3342515648886153,0.5333333333333333,0.5127556944776663,0.6360541390999999,0.5200612154370188,0,0,1.0,1.0
19,0.33831952296923284,0.5233333333333333,0.5489098000656283,0.6705737838812874,0.5146993555163419,0,0,1.0,1.0
20,0.33957306334184834,0.5433333333333333,0.5702445478530709,0.662063706688103,0.5256741099340713,0,0,2.0,1.0
21,0.3611231145227811,0.52,0.5647676784078066,0.6594722275542287,0.5136449245809113,0,0,2.0,1.0
22,0.39982479535032567,0.6233333333333333,0.5809706963692369,0.6940571262645514,0.5682012272975248,0,0,2.0,1.0
23,0.4570266668687686,0.64,0.6269556219452506,0.7006445435809496,0.5887674667232552,0,0,2.0,1.0
24,0.43318029957776194,0.6166666666666667,0.6388723161944965,0.6958514632749517,0.5738531810125889,0,0,2.0,1.0
25,0.320369882036619,0.5166666666666666,0.5069859672394661,0.6197483251526597,0.5101234405123317,0,0,2.0,2.0
