point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.588900665458874,0.5266666666666666,0.6592029485735049,0.521305944581106,0.5299858132689177,0,0,0.0,0.0
2,0.5964888512803499,0.54,0.7110376485136012,0.5255514961973097,0.5445191081024281,0,0,0.0,0.0
3,0.5856146593668896,0.5166666666666666,0.5986688132493828,0.5305609511691367,0.5189649330900074,0,0,0.0,0.0
4,0.5639827307592741,0.4866666666666667,0.47756540394001534,0.5126093916335762,0.4887284283758029,0,0,0.0,0.0
5,0.5818663338981741,0.45999999999999996,0.568261462679292,0.5137895416032501,0.4697493067118539,0,0,0.0,0.0
6,0.5489658029120857,0.38,0.44944856879219097,0.4617681490475224,0.4205517926989006,0,0,0.0,0.0
7,0.5818663338981741,0.5033333333333334,0.531492894644966,0.518855233021088,0.5038568866704324,0,0,0.0,0.0
8,0.5976641043584163,0.4933333333333333,0.5950480216097813,0.5368009908041003,0.4947244102803344,0,0,0.0,0.0
9,0.5818663338981741,0.45666666666666667,0.4988361242672523,0.518855233021088,0.46751730449339735,0,0,0.0,0.0
10,0.5976641043584163,0.5133333333333333,0.562159834347989,0.5368009908041003,0.5155821538940022,0,0,0.0,0.0
11,0.605249682585711,0.5133333333333333,0.6124465916804003,0.5298738420919755,0.5157844359800634,0,0,1.0,0.0
12,0.5973124519523518,0.4833333333333333,0.6947231483160444,0.5255843821912674,0.48713263728730055,0,0,1.0,0.0
13,0.5916924258887465,0.5066666666666666,0.7242358663594395,0.5458824868150113,0.5078003434562943,0,0,1.0,0.0
14,0.5886409094454291,0.52,0.825229763605888,0.5327411117317438,0.5227456363778171,0,0,1.0,0.0
15,0.5904589118365657,0.51,0.7838295364367676,0.5338868394505744,0.5116091782367314,0,0,1.0,0.0
16,0.5958178012441651,0.5233333333333333,0.7189776472010345,0.5690576947632563,0.5267159418358388,0,0,1.0,0.0
17,0.7023027773217021,0.6233333333333333,0.8648038711251682,0.672869372772809,0.6428124628504643,0,0,2.0,0.0
18,0.7090756209430653,0.6699999999999999,0.8742767860681961,0.6338783592590613,0.6832857111206422,0,0,2.0,0.0
