point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.5791124580097241,0.45333333333333337,0.486338710751007,0.600427568171781,0.46507271830312985,0,0,0.0,0.0
2,0.5634713567913597,0.44666666666666666,0.3885271294559627,0.38397272704879504,0.4591258336133006,0,0,0.0,0.0
3,0.5757331961818445,0.4966666666666667,0.4320221176285587,0.39918927620488165,0.4971937768634345,0,0,0.0,0.0
4,0.5539871538102994,0.5166666666666666,0.35030290770909156,0.3410527711586727,0.5179106829047877,0,0,0.0,0.0
5,0.5718180002573543,0.5,0.4024284517675074,0.3596714329433144,0.5,0,0,0.0,0.0
6,0.5382248584003791,0.45999999999999996,0.3072472070540955,0.3280780857362856,0.4662579886720303,0,0,0.0,0.0
7,0.5718180002573543,0.5033333333333334,0.34081658369073575,0.39892737818424195,0.5037898977794936,0,0,0.0,0.0
8,0.5872666361152035,0.51,0.38362872840078355,0.4652257679649551,0.5115453327223041,0,0,0.0,0.0
9,0.5718180002573543,0.5233333333333333,0.3037161427045487,0.3989230613944884,0.525595951123121,0,0,0.0,0.0
10,0.5872666361152035,0.4666666666666667,0.3433169796408184,0.42904618489658697,0.47470666462990246,0,0,0.0,0.0
11,0.5718180002573543,0.44999999999999996,0.31528378166212667,0.36015170493770987,0.4621818000257354,0,0,0.0,0.0
12,0.5382248584003791,0.4633333333333334,0.19581554012740665,0.3762791003163317,0.46882537850491673,0,0,0.0,0.0
13,0.5718180002573543,0.51,0.2414570023434186,0.398922091742796,0.5112363600051472,0,0,0.0,0.0
14,0.5382248584003791,0.44999999999999996,0.21980645272068766,0.32762362830555114,0.4588224858400379,0,0,0.0,0.0
15,0.5718180002573543,0.4966666666666667,0.2699253273064872,0.3488057746193872,0.49716767555727126,0,0,0.0,0.0
16,0.5872666361152035,0.4966666666666667,0.24839961452561699,0.44470771811539467,0.49727066646299023,0,0,0.0,0.0
17,0.5943710728149479,0.5266666666666666,0.34933465046653256,0.4267985035363856,0.5302775683279083,0,0,1.0,0.0
18,0.5868569245293453,0.4866666666666667,0.41861818370349213,0.6304322027414739,0.4893384068763381,0,0,1.0,0.0
19,0.5975134494321829,0.5566666666666666,0.3285113154630782,0.6672025679008264,0.5612959687134251,0,0,1.0,0.0
20,0.5872918757151422,0.5266666666666666,0.3953278581207571,0.6967472594090843,0.529900011149252,0,0,1.0,0.0
21,0.6010756223069312,0.5233333333333333,0.37778788709794464,0.6671408168115123,0.526961306818768,0,0,1.0,0.0
22,0.5856261639013072,0.45666666666666667,0.48647442090519366,0.5920293834403056,0.4678431564270022,0,0,1.0,0.0
23,0.6010756223069312,0.5033333333333334,0.42208704498214444,0.6671408168115123,0.5039849485931575,0,0,1.0,0.0
24,0.6326772828642606,0.5466666666666666,0.46393754772552076,0.5372191719824009,0.5546943241784421,0,0,1.0,0.0
25,0.5780732138088872,0.43666666666666665,0.3736526344386083,0.40549604764153235,0.45457816263801454,0,0,1.0,1.0
26,0.5858666240108004,0.5566666666666666,0.37054630781783715,0.45273080396560195,0.5599759951656684,0,0,1.0,1.0
27,0.5744118529103994,0.4933333333333333,0.3474328482341401,0.39793174853695445,0.4944143802610275,0,0,1.0,1.0
28,0.550850461905076,0.45333333333333337,0.27976891492866485,0.34252102372609994,0.46243493200002933,0,0,1.0,1.0
29,0.508840417164127,0.45333333333333337,0.20847163138870828,0.24810486301131351,0.4585139944908741,0,0,1.0,1.0
30,0.5337723380354886,0.42666666666666664,0.2043601682985906,0.33866392796638234,0.4423754984674272,0,0,1.0,1.0
31,0.5701698184076032,0.5333333333333333,0.25103415277896357,0.4026842026020341,0.5357890990049513,0,0,1.0,1.0
32,0.5869080985841344,0.4933333333333333,0.3546858793090991,0.48885684074463953,0.49458099687001067,0,0,1.0,1.0
33,0.5946056100712951,0.5166666666666666,0.38566442899392506,0.46227704048817264,0.5192646314468209,0,0,2.0,1.0
34,0.586480697453533,0.49,0.4455339843595755,0.5946802772159359,0.49192961394907064,0,0,2.0,1.0
35,0.5808474620847364,0.4866666666666667,0.45289655314678867,0.7768345006899524,0.4891781545444819,0,0,2.0,1.0
36,0.5869510023029013,0.5233333333333333,0.41902672436396193,0.6525813417226264,0.5263021578852465,0,0,2.0,1.0
37,0.6018551181583525,0.5366666666666666,0.4514802463657751,0.48244379508827884,0.5414471531093902,0,0,2.0,1.0
38,0.6360254220764211,0.52,0.4522572249350044,0.44310192303742,0.5246410168830569,0,0,2.0,1.0
39,0.576983029940082,0.4666666666666667,0.3612236182646822,0.33784544906209935,0.47402109088489436,0,0,2.0,2.0
40,0.5855208170185237,0.5166666666666666,0.4025400156766572,0.4254236621630433,0.5189618050117285,0,0,2.0,2.0
41,0.5729719591817448,0.56,0.29453159978184607,0.39642226090960997,0.5615566351018094,0,0,2.0,2.0
42,0.5848421642891086,0.5033333333333334,0.3314043545128307,0.48922021862193676,0.5038767255397053,0,0,2.0,2.0
43,0.5683247525769409,0.5833333333333333,0.26895071402268356,0.3963010133929611,0.5808319032072679,0,0,2.0,2.0
44,0.528450816834076,0.4633333333333334,0.24860143491302433,0.27389950682906883,0.46810861545672117,0,0,2.0,2.0
45,0.5683247525769409,0.51,0.2482948284284665,0.396313883594954,0.5111664950515389,0,0,2.0,2.0
46,0.528450816834076,0.4033333333333333,0.23696954425585726,0.27839681623784585,0.4275227134768102,0,0,2.0,2.0
47,0.44174472885767957,0.3833333333333333,0.12190106004309764,0.2990247127780755,0.3969626589556808,0,0,2.0,3.0
48,0.43195682460852847,0.3433333333333334,0.19901140357521518,0.3251347299069528,0.3711020272662278,0,0,2.0,3.0
49,0.42517058935940377,0.38,0.23498544648673858,0.3396291290126834,0.3908409414462569,0,0,2.0,3.0
50,0.4325233905582304,0.3466666666666667,0.21510007080002058,0.30228897555609946,0.3729960619934129,0,0,2.0,3.0
51,0.4504780524449935,0.3533333333333334,0.20637532289211435,0.28698917636956567,0.381829117606087,0,0,2.0,3.0
52,0.4303536399596516,0.27,0.20121884423544334,0.4202477134686742,0.3437626743814397,0,0,2.0,3.0
53,0.5758431236186575,0.56,0.3979458755164197,0.5324111371475315,0.561901174834239,0,0,3.0,3.0
54,0.5853221908767161,0.5133333333333333,0.4368039267500302,0.5611390292968587,0.5152530362011568,0,0,3.0,3.0
55,0.5917293276771431,0.44666666666666666,0.4737289653387816,0.6040308189602366,0.46214001717445086,0,0,3.0,3.0
