point_index,markov_p1,ml_mc_p1,ml_informed_markov_p1,ml_informed_markov_unsmoothed_p1,hybrid_p1,set1,set2,gm1,gm2
1,0.41234265538142034,0.54,0.5211121305677483,0.6028678727033139,0.5297874124305136,0,0,0.0,0.0
2,0.41990229908170396,0.4766666666666667,0.5693884888871504,0.6784632041679475,0.4740176628460351,0,0,0.0,0.0
3,0.4251450015226723,0.5033333333333334,0.6001102047813551,0.8398011800814517,0.502812077787929,0,0,0.0,0.0
4,0.42792291026288876,0.4733333333333334,0.6323183236570247,0.9402673306289877,0.4709114441029097,0,0,0.0,0.0
5,0.4287430235222788,0.51,0.681129405646752,0.70120227445217,0.5083748604704456,0,0,1.0,0.0
6,0.4445110985061429,0.52,0.6574500237609642,0.5690629767465769,0.5169804439402457,0,0,1.0,0.0
7,0.4321676538304827,0.5066666666666666,0.7050951705757715,0.8928402021390426,0.5056733464955175,0,0,1.0,0.0
8,0.454140780195308,0.54,0.6959237453092358,0.682485895086266,0.5331312624156247,0,0,1.0,0.0
9,0.49351714038355277,0.5466666666666666,0.6940494591248766,0.6153293292394735,0.541706044213576,0,0,1.0,0.0
10,0.4701667725619595,0.56,0.736728330484617,0.7988648451022609,0.5492200127074351,0,0,1.0,0.0
11,0.4134888888266468,0.5466666666666666,0.6661323743498987,0.7472166834718615,0.5342367407349314,0,0,1.0,1.0
12,0.42166391362244626,0.4933333333333333,0.6890755569881951,0.668510285066894,0.49237774107052146,0,0,1.0,1.0
13,0.42733339014159855,0.4766666666666667,0.7200183861658533,0.675162967808742,0.4743644470954968,0,0,1.0,1.0
14,0.4303374302434997,0.5166666666666666,0.7496649347366413,0.7889223504264202,0.5137890254525611,0,0,1.0,1.0
15,0.4285244744897201,0.49,0.6909084428832994,0.6572174171952277,0.48877048948979435,0,0,1.0,1.0
16,0.42300545550446433,0.47,0.6299030222545243,0.6507859593599489,0.4671803273302679,0,0,1.0,1.0
17,0.43122430355349795,0.45666666666666667,0.6650356337558652,0.6579136615033047,0.4544616618635254,0,0,2.0,1.0
18,0.4483142444345496,0.5866666666666667,0.6325141356974664,0.6764194144336082,0.562685580146433,0,0,2.0,1.0
19,0.47758625758965545,0.5233333333333333,0.6383223005470665,0.5610987961991841,0.5211984697986284,0,0,2.0,1.0
20,0.5187980302957194,0.5933333333333333,0.6454925441747182,0.5709077053427865,0.579420076766312,0,0,2.0,1.0
21,0.4146913874932482,0.43666666666666665,0.5170733946888775,0.5229950634040506,0.4338831313047003,0,0,2.0,2.0
22,0.3964336718606032,0.5233333333333333,0.4401649041735256,0.4986029038851414,0.5174113491312726,0,0,2.0,2.0
23,0.41096087175932694,0.4633333333333334,0.4735945016574523,0.5380403714001831,0.4594926861512396,0,0,2.0,2.0
24,0.4231077819279965,0.5266666666666666,0.5097769499466352,0.5741750311462007,0.5211435261472709,0,0,2.0,2.0
25,0.4311181542063758,0.47,0.5614700198454623,0.5824929767164704,0.46766708925238254,0,0,2.0,2.0
26,0.42508848303907465,0.5633333333333334,0.4731484696840229,0.562338839951682,0.5458223189627273,0,0,2.0,2.0
27,0.4067328946151374,0.4633333333333334,0.4243529508721584,0.4295377126287696,0.45918263449399904,0,0,2.0,2.0
28,0.36921020758416656,0.4866666666666667,0.2942400232683726,0.25487031009949357,0.4835344944244667,0,0,2.0,2.0
